id,komentar,platform
66,"Promonya mantap, langsung checkout.",Twitter
67,"Unboxing-nya estetik banget, suka 😍",Instagram
68,Fiturnya lengkap dan mudah digunakan.,PlayStore
69,Suka banget sama warnanya!,Instagram
70,"Promonya mantap, langsung checkout.",Twitter
71,Beli karena lihat review di reels.,Instagram
72,"Sering force close, mohon diperbaiki.",PlayStore
73,Lagi rame bahas ini di timeline 😁,Twitter
74,User experience-nya beda dari yang lain.,Twitter
75,"Barang cacat saat datang, kecewa.",E-Commerce
76,"Produk datang tepat waktu, kualitas oke.",E-Commerce
77,"Sesuai deskripsi, sangat puas.",E-Commerce
78,"Produk datang tepat waktu, kualitas oke.",E-Commerce
79,"Beli karena lihat di Twitter, worth it!",Twitter
80,Packing rapi dan pengiriman cepat.,E-Commerce
81,"Produk datang tepat waktu, kualitas oke.",E-Commerce
82,User experience-nya beda dari yang lain.,Twitter
83,"Unboxing-nya estetik banget, suka 😍",Instagram
84,Harga terjangkau dan berkualitas.,E-Commerce
85,"Sesuai deskripsi, sangat puas.",E-Commerce
86,"Promonya mantap, langsung checkout.",Twitter
87,Cocok buat pelajar dan profesional.,PlayStore
88,"Sering force close, mohon diperbaiki.",PlayStore
89,"Sesuai deskripsi, sangat puas.",E-Commerce
90,Harga terjangkau dan berkualitas.,E-Commerce
91,"Unboxing-nya estetik banget, suka 😍",Instagram
92,"Lihat di IG story teman, jadi penasaran.",Instagram
93,Fiturnya lengkap dan mudah digunakan.,PlayStore
94,"Sesuai deskripsi, sangat puas.",E-Commerce
95,Produk ini viral banget di Instagram!,Instagram
96,Cocok buat pelajar dan profesional.,PlayStore
97,"Lihat di IG story teman, jadi penasaran.",Instagram
98,"Sering force close, mohon diperbaiki.",PlayStore
99,Packing rapi dan pengiriman cepat.,E-Commerce
100,"Barang cacat saat datang, kecewa.",E-Commerce
101,Fiturnya lengkap dan mudah digunakan.,PlayStore
102,Produk ini viral banget di Instagram!,Instagram
103,"Sesuai deskripsi, sangat puas.",E-Commerce
104,Desain UI sangat menarik.,PlayStore
105,"Produk datang tepat waktu, kualitas oke.",E-Commerce
106,Fiturnya lengkap dan mudah digunakan.,PlayStore
107,Harga terjangkau dan berkualitas.,E-Commerce
108,"Lihat di IG story teman, jadi penasaran.",Instagram
109,"Promonya mantap, langsung checkout.",Twitter
110,"Barang cacat saat datang, kecewa.",E-Commerce
111,"Promonya mantap, langsung checkout.",Twitter
112,"Lihat di IG story teman, jadi penasaran.",Instagram
113,Lagi rame bahas ini di timeline 😁,Twitter
114,"Baru coba produk ini, ternyata oke juga!",Twitter
115,Fiturnya lengkap dan mudah digunakan.,PlayStore
116,"Baru coba produk ini, ternyata oke juga!",Twitter
117,"Sering force close, mohon diperbaiki.",PlayStore
118,"Beli karena lihat di Twitter, worth it!",Twitter
119,"Produk datang tepat waktu, kualitas oke.",E-Commerce
120,Suka banget sama warnanya!,Instagram
121,"Promonya mantap, langsung checkout.",Twitter
122,"Unboxing-nya estetik banget, suka 😍",Instagram
123,Packing rapi dan pengiriman cepat.,E-Commerce
124,"Unboxing-nya estetik banget, suka 😍",Instagram
125,Aplikasi ini sangat membantu!,PlayStore
126,"Promonya mantap, langsung checkout.",Twitter
127,Aplikasi ini sangat membantu!,PlayStore
128,"Beli karena lihat di Twitter, worth it!",Twitter
129,Cocok buat pelajar dan profesional.,PlayStore
130,User experience-nya beda dari yang lain.,Twitter
131,"Lihat di IG story teman, jadi penasaran.",Instagram
132,Desain UI sangat menarik.,PlayStore
133,Packing rapi dan pengiriman cepat.,E-Commerce
134,Desain UI sangat menarik.,PlayStore
135,Lagi rame bahas ini di timeline 😁,Twitter
136,Aplikasi ini sangat membantu!,PlayStore
137,User experience-nya beda dari yang lain.,Twitter
138,Beli karena lihat review di reels.,Instagram
139,Fiturnya lengkap dan mudah digunakan.,PlayStore
140,Desain UI sangat menarik.,PlayStore
141,Harga terjangkau dan berkualitas.,E-Commerce
142,"Promonya mantap, langsung checkout.",Twitter
143,Fiturnya lengkap dan mudah digunakan.,PlayStore
144,Cocok buat pelajar dan profesional.,PlayStore
145,Aplikasi ini sangat membantu!,PlayStore
146,"Baru coba produk ini, ternyata oke juga!",Twitter
147,Beli karena lihat review di reels.,Instagram
148,"Produk datang tepat waktu, kualitas oke.",E-Commerce
149,Desain UI sangat menarik.,PlayStore
150,Lagi rame bahas ini di timeline 😁,Twitter
151,"Produk datang tepat waktu, kualitas oke.",E-Commerce
152,Lagi rame bahas ini di timeline 😁,Twitter
153,Cocok buat pelajar dan profesional.,PlayStore
154,"Beli karena lihat di Twitter, worth it!",Twitter
155,Suka banget sama warnanya!,Instagram
156,Produk ini viral banget di Instagram!,Instagram
157,"Barang cacat saat datang, kecewa.",E-Commerce
158,Harga terjangkau dan berkualitas.,E-Commerce
159,"Produk datang tepat waktu, kualitas oke.",E-Commerce
160,Fiturnya lengkap dan mudah digunakan.,PlayStore
161,"Baru coba produk ini, ternyata oke juga!",Twitter
162,Produk ini viral banget di Instagram!,Instagram
163,Packing rapi dan pengiriman cepat.,E-Commerce
164,Desain UI sangat menarik.,PlayStore
165,"Baru coba produk ini, ternyata oke juga!",Twitter
166,"Barang cacat saat datang, kecewa.",E-Commerce
167,Suka banget sama warnanya!,Instagram
168,"Beli karena lihat di Twitter, worth it!",Twitter
169,Lagi rame bahas ini di timeline 😁,Twitter
170,"Baru coba produk ini, ternyata oke juga!",Twitter
171,"Beli karena lihat di Twitter, worth it!",Twitter
172,User experience-nya beda dari yang lain.,Twitter
173,Fiturnya lengkap dan mudah digunakan.,PlayStore
174,"Beli karena lihat di Twitter, worth it!",Twitter
175,Fiturnya lengkap dan mudah digunakan.,PlayStore
176,"Barang cacat saat datang, kecewa.",E-Commerce
177,"Beli karena lihat di Twitter, worth it!",Twitter
178,"Unboxing-nya estetik banget, suka 😍",Instagram
179,"Sesuai deskripsi, sangat puas.",E-Commerce
180,"Baru coba produk ini, ternyata oke juga!",Twitter
181,"Produk datang tepat waktu, kualitas oke.",E-Commerce
182,User experience-nya beda dari yang lain.,Twitter
183,Produk ini viral banget di Instagram!,Instagram
184,Beli karena lihat review di reels.,Instagram
185,Beli karena lihat review di reels.,Instagram
186,"Sering force close, mohon diperbaiki.",PlayStore
187,"Lihat di IG story teman, jadi penasaran.",Instagram
188,"Sesuai deskripsi, sangat puas.",E-Commerce
189,Beli karena lihat review di reels.,Instagram
190,User experience-nya beda dari yang lain.,Twitter
191,Fiturnya lengkap dan mudah digunakan.,PlayStore
192,"Baru coba produk ini, ternyata oke juga!",Twitter
193,Fiturnya lengkap dan mudah digunakan.,PlayStore
194,"Barang cacat saat datang, kecewa.",E-Commerce
195,Desain UI sangat menarik.,PlayStore
196,Cocok buat pelajar dan profesional.,PlayStore
197,"Sesuai deskripsi, sangat puas.",E-Commerce
198,Packing rapi dan pengiriman cepat.,E-Commerce
199,"Promonya mantap, langsung checkout.",Twitter
200,Packing rapi dan pengiriman cepat.,E-Commerce
201,Fiturnya lengkap dan mudah digunakan.,PlayStore
202,"Sesuai deskripsi, sangat puas.",E-Commerce
203,User experience-nya beda dari yang lain.,Twitter
204,Lagi rame bahas ini di timeline 😁,Twitter
205,User experience-nya beda dari yang lain.,Twitter
206,User experience-nya beda dari yang lain.,Twitter
207,"Beli karena lihat di Twitter, worth it!",Twitter
208,Produk ini viral banget di Instagram!,Instagram
209,Aplikasi ini sangat membantu!,PlayStore
210,Produk ini viral banget di Instagram!,Instagram
211,Lagi rame bahas ini di timeline 😁,Twitter
212,Lagi rame bahas ini di timeline 😁,Twitter
213,Desain UI sangat menarik.,PlayStore
214,"Beli karena lihat di Twitter, worth it!",Twitter
215,"Promonya mantap, langsung checkout.",Twitter
216,"Barang cacat saat datang, kecewa.",E-Commerce
217,Aplikasi ini sangat membantu!,PlayStore
218,Fiturnya lengkap dan mudah digunakan.,PlayStore
219,"Baru coba produk ini, ternyata oke juga!",Twitter
220,Beli karena lihat review di reels.,Instagram
221,Beli karena lihat review di reels.,Instagram
222,"Barang cacat saat datang, kecewa.",E-Commerce
223,Cocok buat pelajar dan profesional.,PlayStore
224,Packing rapi dan pengiriman cepat.,E-Commerce
225,"Lihat di IG story teman, jadi penasaran.",Instagram
226,"Produk datang tepat waktu, kualitas oke.",E-Commerce
227,Lagi rame bahas ini di timeline 😁,Twitter
228,"Unboxing-nya estetik banget, suka 😍",Instagram
229,Desain UI sangat menarik.,PlayStore
230,Packing rapi dan pengiriman cepat.,E-Commerce
231,Cocok buat pelajar dan profesional.,PlayStore
232,Fiturnya lengkap dan mudah digunakan.,PlayStore
233,User experience-nya beda dari yang lain.,Twitter
234,Desain UI sangat menarik.,PlayStore
235,"Unboxing-nya estetik banget, suka 😍",Instagram
236,Produk ini viral banget di Instagram!,Instagram
237,Aplikasi ini sangat membantu!,PlayStore
238,Produk ini viral banget di Instagram!,Instagram
239,"Sering force close, mohon diperbaiki.",PlayStore
240,"Beli karena lihat di Twitter, worth it!",Twitter
241,Cocok buat pelajar dan profesional.,PlayStore
242,"Beli karena lihat di Twitter, worth it!",Twitter
243,"Produk datang tepat waktu, kualitas oke.",E-Commerce
244,User experience-nya beda dari yang lain.,Twitter
245,"Beli karena lihat di Twitter, worth it!",Twitter
246,Lagi rame bahas ini di timeline 😁,Twitter
247,Produk ini viral banget di Instagram!,Instagram
248,"Beli karena lihat di Twitter, worth it!",Twitter
249,"Sering force close, mohon diperbaiki.",PlayStore
250,"Barang cacat saat datang, kecewa.",E-Commerce
251,"Sesuai deskripsi, sangat puas.",E-Commerce
252,"Promonya mantap, langsung checkout.",Twitter
253,Desain UI sangat menarik.,PlayStore
254,Fiturnya lengkap dan mudah digunakan.,PlayStore
255,Lagi rame bahas ini di timeline 😁,Twitter
256,Packing rapi dan pengiriman cepat.,E-Commerce
257,"Produk datang tepat waktu, kualitas oke.",E-Commerce
258,"Beli karena lihat di Twitter, worth it!",Twitter
259,Desain UI sangat menarik.,PlayStore
260,Beli karena lihat review di reels.,Instagram
261,"Produk datang tepat waktu, kualitas oke.",E-Commerce
262,Aplikasi ini sangat membantu!,PlayStore
263,Harga terjangkau dan berkualitas.,E-Commerce
264,Cocok buat pelajar dan profesional.,PlayStore
265,Harga terjangkau dan berkualitas.,E-Commerce
266,"Beli karena lihat di Twitter, worth it!",Twitter
267,Aplikasi ini sangat membantu!,PlayStore
268,Fiturnya lengkap dan mudah digunakan.,PlayStore
269,Cocok buat pelajar dan profesional.,PlayStore
270,"Barang cacat saat datang, kecewa.",E-Commerce
271,Packing rapi dan pengiriman cepat.,E-Commerce
272,"Unboxing-nya estetik banget, suka 😍",Instagram
273,Packing rapi dan pengiriman cepat.,E-Commerce
274,Produk ini viral banget di Instagram!,Instagram
275,Harga terjangkau dan berkualitas.,E-Commerce
276,Fiturnya lengkap dan mudah digunakan.,PlayStore
277,"Beli karena lihat di Twitter, worth it!",Twitter
278,Produk ini viral banget di Instagram!,Instagram
279,"Lihat di IG story teman, jadi penasaran.",Instagram
280,User experience-nya beda dari yang lain.,Twitter
281,User experience-nya beda dari yang lain.,Twitter
282,"Sesuai deskripsi, sangat puas.",E-Commerce
283,"Baru coba produk ini, ternyata oke juga!",Twitter
284,Produk ini viral banget di Instagram!,Instagram
285,Beli karena lihat review di reels.,Instagram
286,Aplikasi ini sangat membantu!,PlayStore
287,Lagi rame bahas ini di timeline 😁,Twitter
288,"Barang cacat saat datang, kecewa.",E-Commerce
289,"Lihat di IG story teman, jadi penasaran.",Instagram
290,Produk ini viral banget di Instagram!,Instagram
291,"Barang cacat saat datang, kecewa.",E-Commerce
292,"Sering force close, mohon diperbaiki.",PlayStore
293,Aplikasi ini sangat membantu!,PlayStore
294,Packing rapi dan pengiriman cepat.,E-Commerce
295,Cocok buat pelajar dan profesional.,PlayStore
296,"Sesuai deskripsi, sangat puas.",E-Commerce
297,Suka banget sama warnanya!,Instagram
298,"Beli karena lihat di Twitter, worth it!",Twitter
299,"Sering force close, mohon diperbaiki.",PlayStore
300,Produk ini viral banget di Instagram!,Instagram
301,Aplikasi ini sangat membantu!,PlayStore
302,Produk ini viral banget di Instagram!,Instagram
303,"Promonya mantap, langsung checkout.",Twitter
304,Suka banget sama warnanya!,Instagram
305,Cocok buat pelajar dan profesional.,PlayStore
306,Packing rapi dan pengiriman cepat.,E-Commerce
307,Packing rapi dan pengiriman cepat.,E-Commerce
308,Desain UI sangat menarik.,PlayStore
309,"Unboxing-nya estetik banget, suka 😍",Instagram
310,Harga terjangkau dan berkualitas.,E-Commerce
311,"Sering force close, mohon diperbaiki.",PlayStore
312,"Promonya mantap, langsung checkout.",Twitter
313,Packing rapi dan pengiriman cepat.,E-Commerce
314,"Produk datang tepat waktu, kualitas oke.",E-Commerce
315,"Beli karena lihat di Twitter, worth it!",Twitter
316,Beli karena lihat review di reels.,Instagram
317,"Promonya mantap, langsung checkout.",Twitter
318,"Sering force close, mohon diperbaiki.",PlayStore
319,"Sering force close, mohon diperbaiki.",PlayStore
320,Produk ini viral banget di Instagram!,Instagram
321,Lagi rame bahas ini di timeline 😁,Twitter
322,Desain UI sangat menarik.,PlayStore
323,"Lihat di IG story teman, jadi penasaran.",Instagram
324,Harga terjangkau dan berkualitas.,E-Commerce
325,Beli karena lihat review di reels.,Instagram
326,Packing rapi dan pengiriman cepat.,E-Commerce
327,"Barang cacat saat datang, kecewa.",E-Commerce
328,Beli karena lihat review di reels.,Instagram
329,"Beli karena lihat di Twitter, worth it!",Twitter
330,Produk ini viral banget di Instagram!,Instagram
331,"Beli karena lihat di Twitter, worth it!",Twitter
332,Fiturnya lengkap dan mudah digunakan.,PlayStore
333,"Sesuai deskripsi, sangat puas.",E-Commerce
334,Harga terjangkau dan berkualitas.,E-Commerce
335,Lagi rame bahas ini di timeline 😁,Twitter
336,Suka banget sama warnanya!,Instagram
337,"Lihat di IG story teman, jadi penasaran.",Instagram
338,Aplikasi ini sangat membantu!,PlayStore
339,Lagi rame bahas ini di timeline 😁,Twitter
340,"Produk datang tepat waktu, kualitas oke.",E-Commerce
341,Produk ini viral banget di Instagram!,Instagram
342,"Beli karena lihat di Twitter, worth it!",Twitter
343,Harga terjangkau dan berkualitas.,E-Commerce
344,"Lihat di IG story teman, jadi penasaran.",Instagram
345,"Produk datang tepat waktu, kualitas oke.",E-Commerce
346,"Produk datang tepat waktu, kualitas oke.",E-Commerce
347,Beli karena lihat review di reels.,Instagram
348,Produk ini viral banget di Instagram!,Instagram
349,Lagi rame bahas ini di timeline 😁,Twitter
350,"Beli karena lihat di Twitter, worth it!",Twitter
351,Lagi rame bahas ini di timeline 😁,Twitter
352,Desain UI sangat menarik.,PlayStore
353,"Sering force close, mohon diperbaiki.",PlayStore
354,Lagi rame bahas ini di timeline 😁,Twitter
355,"Produk datang tepat waktu, kualitas oke.",E-Commerce
356,"Baru coba produk ini, ternyata oke juga!",Twitter
357,Fiturnya lengkap dan mudah digunakan.,PlayStore
358,"Sesuai deskripsi, sangat puas.",E-Commerce
359,Suka banget sama warnanya!,Instagram
360,"Beli karena lihat di Twitter, worth it!",Twitter
361,Lagi rame bahas ini di timeline 😁,Twitter
362,Fiturnya lengkap dan mudah digunakan.,PlayStore
363,Harga terjangkau dan berkualitas.,E-Commerce
364,"Lihat di IG story teman, jadi penasaran.",Instagram
365,Harga terjangkau dan berkualitas.,E-Commerce
366,Packing rapi dan pengiriman cepat.,E-Commerce
367,Lagi rame bahas ini di timeline 😁,Twitter
368,Harga terjangkau dan berkualitas.,E-Commerce
369,Beli karena lihat review di reels.,Instagram
370,Harga terjangkau dan berkualitas.,E-Commerce
371,"Produk datang tepat waktu, kualitas oke.",E-Commerce
372,"Beli karena lihat di Twitter, worth it!",Twitter
373,Beli karena lihat review di reels.,Instagram
374,Packing rapi dan pengiriman cepat.,E-Commerce
375,Suka banget sama warnanya!,Instagram
376,"Sesuai deskripsi, sangat puas.",E-Commerce
377,Desain UI sangat menarik.,PlayStore
378,"Unboxing-nya estetik banget, suka 😍",Instagram
379,Fiturnya lengkap dan mudah digunakan.,PlayStore
380,User experience-nya beda dari yang lain.,Twitter
381,Desain UI sangat menarik.,PlayStore
382,Produk ini viral banget di Instagram!,Instagram
383,Aplikasi ini sangat membantu!,PlayStore
384,"Unboxing-nya estetik banget, suka 😍",Instagram
385,"Barang cacat saat datang, kecewa.",E-Commerce
386,"Sering force close, mohon diperbaiki.",PlayStore
387,"Beli karena lihat di Twitter, worth it!",Twitter
388,Aplikasi ini sangat membantu!,PlayStore
389,Fiturnya lengkap dan mudah digunakan.,PlayStore
390,Beli karena lihat review di reels.,Instagram
391,Packing rapi dan pengiriman cepat.,E-Commerce
392,"Beli karena lihat di Twitter, worth it!",Twitter
393,Cocok buat pelajar dan profesional.,PlayStore
394,"Unboxing-nya estetik banget, suka 😍",Instagram
395,"Sering force close, mohon diperbaiki.",PlayStore
396,Suka banget sama warnanya!,Instagram
397,"Unboxing-nya estetik banget, suka 😍",Instagram
398,"Unboxing-nya estetik banget, suka 😍",Instagram
399,Produk ini viral banget di Instagram!,Instagram
400,Lagi rame bahas ini di timeline 😁,Twitter
401,Lagi rame bahas ini di timeline 😁,Twitter
402,Suka banget sama warnanya!,Instagram
403,"Produk datang tepat waktu, kualitas oke.",E-Commerce
404,Packing rapi dan pengiriman cepat.,E-Commerce
405,"Unboxing-nya estetik banget, suka 😍",Instagram
406,User experience-nya beda dari yang lain.,Twitter
407,Harga terjangkau dan berkualitas.,E-Commerce
408,"Baru coba produk ini, ternyata oke juga!",Twitter
409,Harga terjangkau dan berkualitas.,E-Commerce
410,"Baru coba produk ini, ternyata oke juga!",Twitter
411,Cocok buat pelajar dan profesional.,PlayStore
412,Produk ini viral banget di Instagram!,Instagram
413,Produk ini viral banget di Instagram!,Instagram
414,Produk ini viral banget di Instagram!,Instagram
415,Lagi rame bahas ini di timeline 😁,Twitter
416,"Lihat di IG story teman, jadi penasaran.",Instagram
417,Aplikasi ini sangat membantu!,PlayStore
418,"Sering force close, mohon diperbaiki.",PlayStore
419,"Unboxing-nya estetik banget, suka 😍",Instagram
420,Beli karena lihat review di reels.,Instagram
421,"Promonya mantap, langsung checkout.",Twitter
422,Fiturnya lengkap dan mudah digunakan.,PlayStore
423,"Beli karena lihat di Twitter, worth it!",Twitter
424,"Lihat di IG story teman, jadi penasaran.",Instagram
425,Beli karena lihat review di reels.,Instagram
426,"Beli karena lihat di Twitter, worth it!",Twitter
427,User experience-nya beda dari yang lain.,Twitter
428,"Beli karena lihat di Twitter, worth it!",Twitter
429,Harga terjangkau dan berkualitas.,E-Commerce
430,Aplikasi ini sangat membantu!,PlayStore
431,"Sesuai deskripsi, sangat puas.",E-Commerce
432,User experience-nya beda dari yang lain.,Twitter
433,"Sering force close, mohon diperbaiki.",PlayStore
434,"Unboxing-nya estetik banget, suka 😍",Instagram
435,"Produk datang tepat waktu, kualitas oke.",E-Commerce
436,Packing rapi dan pengiriman cepat.,E-Commerce
437,Suka banget sama warnanya!,Instagram
438,"Promonya mantap, langsung checkout.",Twitter
439,"Sering force close, mohon diperbaiki.",PlayStore
440,"Unboxing-nya estetik banget, suka 😍",Instagram
441,"Unboxing-nya estetik banget, suka 😍",Instagram
442,User experience-nya beda dari yang lain.,Twitter
443,User experience-nya beda dari yang lain.,Twitter
444,Lagi rame bahas ini di timeline 😁,Twitter
445,"Beli karena lihat di Twitter, worth it!",Twitter
446,"Sesuai deskripsi, sangat puas.",E-Commerce
447,Beli karena lihat review di reels.,Instagram
448,"Sering force close, mohon diperbaiki.",PlayStore
449,Suka banget sama warnanya!,Instagram
450,Produk ini viral banget di Instagram!,Instagram
451,"Baru coba produk ini, ternyata oke juga!",Twitter
452,Packing rapi dan pengiriman cepat.,E-Commerce
453,"Baru coba produk ini, ternyata oke juga!",Twitter
454,Beli karena lihat review di reels.,Instagram
455,"Sesuai deskripsi, sangat puas.",E-Commerce
456,"Promonya mantap, langsung checkout.",Twitter
457,Packing rapi dan pengiriman cepat.,E-Commerce
458,"Sesuai deskripsi, sangat puas.",E-Commerce
459,"Beli karena lihat di Twitter, worth it!",Twitter
460,Lagi rame bahas ini di timeline 😁,Twitter
461,"Unboxing-nya estetik banget, suka 😍",Instagram
462,"Barang cacat saat datang, kecewa.",E-Commerce
463,Harga terjangkau dan berkualitas.,E-Commerce
464,"Sesuai deskripsi, sangat puas.",E-Commerce
465,"Unboxing-nya estetik banget, suka 😍",Instagram
466,"Promonya mantap, langsung checkout.",Twitter
467,"Baru coba produk ini, ternyata oke juga!",Twitter
468,"Sesuai deskripsi, sangat puas.",E-Commerce
469,Fiturnya lengkap dan mudah digunakan.,PlayStore
470,"Barang cacat saat datang, kecewa.",E-Commerce
471,Produk ini viral banget di Instagram!,Instagram
472,Suka banget sama warnanya!,Instagram
473,"Lihat di IG story teman, jadi penasaran.",Instagram
474,"Promonya mantap, langsung checkout.",Twitter
475,Packing rapi dan pengiriman cepat.,E-Commerce
476,"Unboxing-nya estetik banget, suka 😍",Instagram
477,Suka banget sama warnanya!,Instagram
478,"Sering force close, mohon diperbaiki.",PlayStore
479,User experience-nya beda dari yang lain.,Twitter
480,User experience-nya beda dari yang lain.,Twitter
481,"Sesuai deskripsi, sangat puas.",E-Commerce
482,Beli karena lihat review di reels.,Instagram
483,Suka banget sama warnanya!,Instagram
484,"Baru coba produk ini, ternyata oke juga!",Twitter
485,Desain UI sangat menarik.,PlayStore
486,Packing rapi dan pengiriman cepat.,E-Commerce
487,Desain UI sangat menarik.,PlayStore
488,"Lihat di IG story teman, jadi penasaran.",Instagram
489,Produk ini viral banget di Instagram!,Instagram
490,"Sesuai deskripsi, sangat puas.",E-Commerce
491,"Sering force close, mohon diperbaiki.",PlayStore
492,Produk ini viral banget di Instagram!,Instagram
493,"Promonya mantap, langsung checkout.",Twitter
494,Beli karena lihat review di reels.,Instagram
495,Fiturnya lengkap dan mudah digunakan.,PlayStore
496,"Sering force close, mohon diperbaiki.",PlayStore
497,Harga terjangkau dan berkualitas.,E-Commerce
498,"Barang cacat saat datang, kecewa.",E-Commerce
499,"Beli karena lihat di Twitter, worth it!",Twitter
500,Packing rapi dan pengiriman cepat.,E-Commerce
501,Desain UI sangat menarik.,PlayStore
502,"Lihat di IG story teman, jadi penasaran.",Instagram
503,"Barang cacat saat datang, kecewa.",E-Commerce
504,"Promonya mantap, langsung checkout.",Twitter
505,Fiturnya lengkap dan mudah digunakan.,PlayStore
506,Aplikasi ini sangat membantu!,PlayStore
507,Harga terjangkau dan berkualitas.,E-Commerce
508,Harga terjangkau dan berkualitas.,E-Commerce
509,Cocok buat pelajar dan profesional.,PlayStore
510,"Produk datang tepat waktu, kualitas oke.",E-Commerce
511,"Produk datang tepat waktu, kualitas oke.",E-Commerce
512,Produk ini viral banget di Instagram!,Instagram
513,Beli karena lihat review di reels.,Instagram
514,"Promonya mantap, langsung checkout.",Twitter
515,Fiturnya lengkap dan mudah digunakan.,PlayStore
516,"Sering force close, mohon diperbaiki.",PlayStore
517,Aplikasi ini sangat membantu!,PlayStore
518,Produk ini viral banget di Instagram!,Instagram
519,Packing rapi dan pengiriman cepat.,E-Commerce
520,Produk ini viral banget di Instagram!,Instagram
521,Fiturnya lengkap dan mudah digunakan.,PlayStore
522,"Barang cacat saat datang, kecewa.",E-Commerce
523,"Sesuai deskripsi, sangat puas.",E-Commerce
524,"Barang cacat saat datang, kecewa.",E-Commerce
525,Harga terjangkau dan berkualitas.,E-Commerce
526,Fiturnya lengkap dan mudah digunakan.,PlayStore
527,Fiturnya lengkap dan mudah digunakan.,PlayStore
528,Suka banget sama warnanya!,Instagram
529,"Promonya mantap, langsung checkout.",Twitter
530,"Sesuai deskripsi, sangat puas.",E-Commerce
531,"Baru coba produk ini, ternyata oke juga!",Twitter
532,Fiturnya lengkap dan mudah digunakan.,PlayStore
533,Harga terjangkau dan berkualitas.,E-Commerce
534,"Sesuai deskripsi, sangat puas.",E-Commerce
535,"Baru coba produk ini, ternyata oke juga!",Twitter
536,Harga terjangkau dan berkualitas.,E-Commerce
537,Fiturnya lengkap dan mudah digunakan.,PlayStore
538,Beli karena lihat review di reels.,Instagram
539,"Unboxing-nya estetik banget, suka 😍",Instagram
540,"Sering force close, mohon diperbaiki.",PlayStore
541,Desain UI sangat menarik.,PlayStore
542,Suka banget sama warnanya!,Instagram
543,"Sering force close, mohon diperbaiki.",PlayStore
544,Aplikasi ini sangat membantu!,PlayStore
545,Harga terjangkau dan berkualitas.,E-Commerce
